Language name,Language family,Concept,Word written in corresponding language,Number of senses,Synonyms number,Sense_1,Sense_2,Sense_3,Sense_4,Sense_5,Sense_6,Sense_7,Sense_8,Sense_9,Sense_10,Sense_11,Sense_12,Sense_13,Sense_14,Sense_15,Sense_16,Sense_17,Sense_18,Sense_19,Sense_20,Sense_21,,,,
Armenian,Indo-European,small,պզտիկ,3,0 ,Little,Small,Young,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,square,քառակոյս,1,0 ,Square,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,stand,կենալ,6,0 ,Lie,Remain,Rest,Stand,Stay,Stop,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,stone,քար,1,0 ,Stone,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,sun,արեւ,1,0 ,Sun,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,that,այդ,1,0 ,That,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,this,այս,3,0 ,That,These,This,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,three,երեք,3,0 ,The Third,Three,Three Times,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,tree,ծառ,1,0 ,Tree,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,two,երկու,1,0 ,Two,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,water,ջուր,3,0 ,Juice,Liquid,Water,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,what,որ,2,0 ,What,Which,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,white,ճերմակ,1,0 ,White,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,who,ով,2,0 ,Who,"Whoerver,Anybody",,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,woman,կին,3,0 ,Lover,Wife,Woman,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,you,դուք,2,0 ,Ye,You,,,,,,,,,,,,,,,,,,,,,,,
Basque,language isolate,bad,txar,8,0 ,Awful,Bad,Delicate,Nasty,Poor,Small,Sore,Weak,,,,,,,,,,,,,,,,,
Basque,language isolate,big,handi,13,0 ,Big,"Chief,Leading",Deep,"Great,Superior",Heavy,High,"Huge,Immense",Intense,Noble,Severe,"Significant,Important",Strong,Tough,,,,,,,,,,,,
Basque,language isolate,bird,hegazti,2,0 ,Bird,Fowl,,,,,,,,,,,,,,,,,,,,,,,
